hash,Plec,Wiek,temperatura,posner validRT Mean,posner Invalid RT Mean,posner control RT Mean,posner valid ACC,posner Invalid ACC,posner control ACC,N0,N1,N2,N0RT,N1RT,N2RT,Transit between Acc,Transit between RT,Transit inside Acc,Transit inside RT,Transit Control Acc,Transit control RT,NEO N,NEO E,NEO O,NEO U,NEO S,FCZ ZW,ECZ PE,FCZ RT,FCZ WS,FCZ WT,FCZ RE,FCZ AK,STAI X-1,STAI X-2,Test matryc,EPQ N,EPQ E,EPQ P,EPQ K,EPQ U,EPQ PR,WAIS arytmetyka,WAIS powt cyfr,WAIS symb cyfr,WAIS IQ,CwP PUK,CwP PBS,CwP PZL,CwP PZI,CwP KO,CwP IK,CwP S,CwP P,REC N,REC E,REC O,REC U,REC S
015EC76F,0,30.0,37.4644255081034,,,,,,,,,,,,,17.0,6472.72,14.0,5980.91,16.0,6825.37,103,138,135,106,96,44,44,19,49,32,34,44,29,35,56,16,16,10,7,15,17,47,11,76,119,80,32,23,22,28,65,41,16,,,,,
087D98D7,0,43.0,36.9642376636734,381.29,448.0,463.16,0.82,0.9,0.82,16.0,8.0,7.0,365.15,436.95,407.69,8.0,7067.04,10.0,7899.43,10.0,7285.39,82,94,133,120,143,41,42,27,45,31,39,41,38,38,55,19,13,2,11,14,15,30,10,52,104,84,39,21,19,25,59,40,32,2.71,2.96,3.77,3.5,3.98
0B55EEC5,1,24.0,37.7147,271.08,248.6,280.1,0.84,0.8,0.82,16.0,7.0,8.0,424.36,486.2,586.6,15.0,5753.81,20.0,5070.64,20.0,4715.98,65,97,105,116,115,41,35,20,42,39,30,40,32,27,56,4,15,7,9,7,9,72,14,76,134,97,36,27,27,32,65,48,36,2.35,3.02,3.19,3.42,3.4
0BD76B9D,1,24.0,37.1416,347.16,493.2,387.26,0.89,0.86,0.78,16.0,8.0,8.0,593.9,592.91,838.3,9.0,5761.77,6.0,7762.82,14.0,7493.51,55,154,166,92,119,46,41,23,60,31,20,43,23,26,55,7,17,10,7,10,10,70,14,50,123,85,26,26,28,26,59,40,36,2.15,4.21,4.46,2.92,3.48
1B09F58B,0,32.0,37.1708,329.75,342.65,346.14,0.81,0.9,0.84,16.0,8.0,6.0,462.03,735.0,421.9,7.0,7071.7,9.0,6372.53,10.0,6708.2,56,125,146,127,116,41,37,22,50,32,31,42,26,25,57,0,18,10,12,4,4,27,17,64,119,64,25,19,18,20,44,31,29,2.17,3.6,4.04,3.65,3.42
1B46DE54,1,23.0,38.3245,298.98,317.75,280.66,0.88,0.8,0.78,16.0,8.0,6.0,301.31,291.56,365.63,4.0,3538.75,6.0,5506.35,5.0,7079.52,59,138,140,130,150,42,42,24,47,33,32,50,23,30,50,7,19,5,13,4,8,30,15,52,108,85,30,30,23,29,58,41,38,2.23,3.88,3.92,3.71,4.13
1BF3D179,0,23.0,,599.088,739.75,713.14,0.531,0.6429,0.5301,16.0,7.0,8.0,426.2562,696.0571,594.0375,14.0,7461.0857,15.0,6988.3267,18.0,5521.0167,0,95,102,101,106,31,56,19,42,30,43,36,43,48,52,16,8,7,5,13,14,30,12,75,113,98,33,35,27,32,66,49,43,,,,,
1DC47E36,0,23.0,36.9086,331.2,350.9,352.2,0.84,0.8,0.86,16.0,8.0,7.0,395.33,411.18,893.97,11.0,5314.08,18.0,6921.24,16.0,6533.26,66,121,142,105,145,43,40,21,50,39,33,42,32,27,58,2,16,11,10,4,7,56,14,72,125,62,24,19,19,21,44,30,34,2.38,3.52,3.96,3.19,4.02
21E3D37F,0,23.0,37.3419,275.66,329.75,349.6,0.78,0.9,0.82,16.0,7.0,7.0,368.54,435.03,521.86,17.0,6994.54,17.0,6125.71,20.0,5070.68,89,112,123,90,113,45,37,18,45,43,30,40,30,31,56,7,16,9,7,8,10,24,10,67,102,77,33,22,19,25,53,40,35,2.85,3.33,3.56,2.88,3.35
348BC5B6,0,24.0,36.7337,296.46,331.3,303.76,0.86,0.75,0.82,16.0,7.0,8.0,355.55,506.29,455.81,14.0,4492.01,17.0,4369.45,20.0,5489.36,62,130,137,128,132,39,40,20,33,37,33,45,29,35,55,5,19,11,10,5,7,37,14,51,106,80,33,22,21,25,55,40,32,,,,,
